id,store_id,label_id,release_id,sum_units,count,store_name,type,sum_royalty,report_date,territory_id
18746,269,16,25866,3,0,"Apple Music",,0.02,"2018-02-13 00:00:00",81
18747,269,16,27744,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",74
18748,269,16,27744,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",81
18749,269,16,27744,3,0,"Apple Music",,0.02,"2018-02-13 00:00:00",74
18750,269,16,29191,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",74
18751,269,16,30100,2,0,"Apple Music",,0.01,"2018-02-13 00:00:00",205
18752,269,16,30990,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",142
18753,269,16,31784,4,0,"Apple Music",,0.03,"2018-02-13 00:00:00",81
18754,269,16,31784,3,0,"Apple Music",,0.02,"2018-02-13 00:00:00",81
18755,269,16,33165,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",232
18756,269,16,33165,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",13
18757,269,16,33165,2,0,"Apple Music",,0.01,"2018-02-13 00:00:00",74
18758,269,16,33165,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",232
18759,269,16,33165,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",74
18760,269,16,35230,6,0,"Apple Music",,0.04,"2018-02-13 00:00:00",81
18761,269,16,38216,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",235
18762,269,16,38793,14,0,"Apple Music",,0.10,"2018-02-13 00:00:00",81
18763,269,16,40432,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",232
18764,269,16,41913,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",133
18765,269,16,41913,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",133
18766,269,16,41913,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",133
18767,269,16,41913,3,0,"Apple Music",,0.02,"2018-02-13 00:00:00",133
18768,269,16,41913,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",133
18769,269,16,41913,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",133
18770,269,16,41913,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",133
18771,269,16,41913,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",133
18772,269,16,41913,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",133
18773,269,16,41913,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",133
18774,269,16,41913,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",133
18775,269,16,41913,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",133
18776,269,16,41913,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",133
18777,269,16,41913,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",133
18778,269,16,41913,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",133
18779,269,16,44876,11,0,"Apple Music",,0.08,"2018-02-13 00:00:00",108
18780,269,16,46755,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",99
18781,269,16,46757,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",142
